67	2012-10-17	2012-10-29 22:03:20	1	6450	72	pcruz_10.14.152.89	DTP	268 F01	1
70	2012-10-17	2012-10-29 22:03:20	1	6453	72	pcruz_10.14.152.89	DTP	259 A01	1
71	2012-10-17	2012-10-29 22:03:20	2	6454	72	pcruz_10.14.152.89	DTP	259 B01	2
72	2012-10-17	2012-11-07 14:01:52	1	6501	72	pcruz_10.14.152.89	DTP	268 E02	4
73	2012-10-17	2012-10-29 22:03:20	3	6309	72	kviaud_10.14.152.41	DTP	252 G06	3
74	2012-10-17	2012-10-29 22:03:20	5	5808	72	10.14.154.94	DTP	222 H02	5
75	2012-10-17	2012-10-29 22:03:20	2	6233	72	kviaud_10.14.152.41	DTP	249 B05	2
76	2012-10-17	2012-10-29 22:03:20	1	6215	72	kviaud_10.14.152.41	DTP	247 E06	1
77	2012-10-17	2012-10-29 22:03:21	3	5835	72	pcruz_10.14.152.89	DTP	219 F03	3
78	2012-10-17	2012-10-29 22:03:21	1	6217	72	kviaud_10.14.152.41	DTP	247 G06	1
79	2012-10-17	2012-10-29 22:03:21	1	6229	72	kviaud_10.14.152.41	DTP	249 F04	1
80	2012-10-17	2012-10-29 22:03:21	1	6230	72	kviaud_10.14.152.41	DTP	249 G04	1
81	2012-10-17	2012-10-29 22:03:21	3	5793	72	pcruz_10.14.152.89	DTP	219 E01	3
82	2012-10-17	2012-10-29 22:03:21	1	5791	72	pcruz_10.14.152.89	DTP	219 D01	1
83	2012-10-17	2012-10-29 22:03:21	4	4098	72	10.14.154.94	DTP	162 A01	4
84	2012-10-17	2012-11-07 14:01:52	1	5823	72	pcruz_10.14.152.89	DTP	222 A03	5
85	2012-10-17	2012-10-29 22:03:21	4	4102	72	10.14.154.94	DTP	162 D01	4
86	2012-10-17	2012-10-29 22:03:21	3	5798	72	pcruz_10.14.152.89	DTP	219 G01	3
87	2012-10-17	2012-10-29 22:03:21	4	4104	72	10.14.154.94	DTP	162 F01	4
88	2012-10-17	2012-10-29 22:03:21	4	4105	72	10.14.154.94	DTP	199 A01	4
89	2012-10-17	2012-10-29 22:03:21	3	5795	72	pcruz_10.14.152.89	DTP	219 F01	3
90	2012-10-17	2012-11-09 23:04:21	3	2998	72	10.14.154.94	libraryPrep	LP 2091, not in LIMS yet	3
91	2012-10-17	2012-11-07 14:01:52	1	6318	72	pcruz_10.14.152.89	DTP	254 B03	3
92	2012-10-17	2012-10-30 22:48:17	6	4116	72	10.14.154.94	DTP	170 H02	6
93	2012-10-17	2012-10-30 22:48:17	6	4110	72	10.14.154.94	DTP	170 C02	6
94	2012-10-17	2012-10-30 22:48:17	6	4111	72	10.14.154.94	DTP	170 D02	6
95	2012-10-17	2012-10-30 22:48:17	6	4115	72	10.14.154.94	DTP	170 G02	6
96	2012-10-17	2012-10-29 22:03:21	6	4127	72	10.14.154.94	DTP	160 E03	6
97	2012-10-17	2012-10-29 22:03:21	6	4120	72	10.14.154.94	DTP	177 E03	6
98	2012-10-17	2012-10-29 22:03:21	6	4123	72	10.14.154.94	DTP	177 F03	6
99	2012-10-17	2012-10-30 22:48:17	6	4124	72	10.14.154.94	DTP	166 G01	6
100	2012-10-18	2012-10-29 22:03:21	1	5930	72	pcruz_10.14.152.89	DTP	240 F04	1
101	2012-10-18	2012-10-29 22:03:21	3	5929	72	10.14.154.94	DTP	240 E04	3
102	2012-10-18	2012-10-29 22:03:21	3	6255	72	10.14.154.94	DTP	252 F01	3
103	2012-10-18	2012-10-29 22:03:21	3	6282	72	10.14.154.94	DTP	252 A05	3
104	2012-10-18	2012-11-06 21:07:30	3	3034	72	10.14.154.94	libraryPrep	LP 2091	3
105	2012-10-18	2012-12-11 19:04:43	2	3037	72	10.14.154.94	LibPrep	93 G01	3
106	2012-10-18	2012-10-29 22:03:21	3	6270	72	10.14.154.94	DTP	\N	3
107	2012-10-18	2012-10-29 22:03:21	3	6269	72	amaroo_10.14.154.88	DTP	\N	6
108	2012-10-18	2012-10-29 22:03:21	3	6267	72	amaroo_10.14.154.88	DTP	\N	3
109	2012-10-18	2012-10-29 22:03:21	3	6266	72	amaroo_10.14.154.88	DTP	\N	3
110	2012-10-18	2012-10-29 22:03:21	3	6263	72	amaroo_10.14.154.88	DTP	\N	3
111	2012-10-18	2012-10-29 22:03:21	3	6260	72	amaroo_10.14.154.88	DTP	\N	3
112	2012-10-18	2012-10-29 22:03:21	1	6287	72	amaroo_10.14.154.88	DTP	\N	1
113	2012-10-18	2012-10-29 22:03:21	1	6265	72	10.14.154.88	DTP	\N	1
114	2012-10-18	2012-10-30 22:48:17	1	6265	72	amaroo_10.14.154.88	DTP	\N	1
115	2012-10-18	2012-10-29 22:03:21	1	6277	72	amaroo_10.14.154.88	DTP	\N	1
116	2012-10-18	2012-10-29 22:03:21	2	6252	72	amaroo_10.14.154.88	DTP	\N	2
117	2012-10-18	2012-10-29 22:03:21	2	6286	72	amaroo_10.14.154.88	DTP	\N	2
118	2012-10-18	2012-10-29 22:03:21	2	6257	72	amaroo_10.14.154.88	DTP	\N	2
119	2012-10-18	2012-10-29 22:03:21	2	6293	72	amaroo_10.14.154.88	DTP	\N	2
120	2012-10-18	2012-10-29 22:03:21	2	6261	72	amaroo_10.14.154.88	DTP	\N	4
121	2012-10-18	2012-11-07 14:01:52	2	6268	72	amaroo_10.14.154.88	DTP	\N	3
122	2012-10-18	2012-11-07 14:01:52	3	6273	72	10.14.154.88	UCT	all previous three lanes were over clustered.	8
123	2012-10-18	2012-10-29 22:03:21	3	6250	72	amaroo_10.14.154.88	DTP	\N	3
124	2012-10-18	2012-10-29 22:03:21	3	6284	72	amaroo_10.14.154.88	DTP	\N	3
125	2012-10-18	2012-10-29 22:03:21	3	6285	72	amaroo_10.14.154.88	DTP	\N	3
126	2012-10-18	2012-10-29 22:03:21	3	6256	72	10.14.154.88	UCT	ClusterDensity high in previous three lanes	3
127	2012-10-18	2012-10-29 22:03:21	1	6357	72	10.14.154.94	DTP	will run 2 lanes for 1 FC on Thunderbolt	2
128	2012-10-18	2012-10-30 22:53:41	3	4367	72	10.14.152.33	libraryPrep	LP 2089	3
129	2012-10-18	2012-10-29 22:03:21	3	4368	72	10.14.152.33	UCT	Not already prepped, so try existing library	3
130	2012-10-18	2012-10-29 22:03:21	3	4599	72	10.14.154.94	DTP	\N	9
131	2012-10-18	2012-11-07 14:01:52	1	6547	72	10.14.154.94	DTP	\N	7
132	2012-10-18	2012-11-07 01:04:44	2	6547	72	10.14.154.94	libraryPrep	LP 3119	2
133	2012-10-18	2012-11-07 14:01:52	3	6548	72	10.14.154.94	DTP	\N	6
134	2012-10-18	2012-11-07 14:01:52	3	6549	72	10.14.154.94	DTP	\N	6
135	2012-10-18	2012-10-29 22:03:21	1	4379	72	10.14.154.94	UCT	\N	1
136	2012-10-18	2012-10-29 22:03:21	3	4383	72	10.14.152.33	UCT	Not already prepped, so try existing library	3
