flowcell	lane	run_folder	qscore_cycle	report_time	per_good_tiles	num_good_tiles	total_tiles	pass_yield_gb	total_yield_gb	pass_per_q30	pass_gb_q30	total_per_q30	total_gb_q30	pass_mean_qscore	total_mean_qscore	tile_fail_reasons	good_tiles	bad_tiles
C1NGRACXX	1	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	43.86	43.86	83.74	36.72	83.74	36.72	33.70	33.70		1_1101,1_1102,1_1103,1_1104,1_1105,1_1106,1_1107,1_1108,1_1109,1_1110,1_1111,1_1112,1_1113,1_1114,1_1115,1_1116,1_1201,1_1202,1_1203,1_1204,1_1205,1_1206,1_1207,1_1208,1_1209,1_1210,1_1211,1_1212,1_1213,1_1214,1_1215,1_1216,1_1301,1_1302,1_1303,1_1304,1_1305,1_1306,1_1307,1_1308,1_1309,1_1310,1_1311,1_1312,1_1313,1_1314,1_1315,1_1316,1_2101,1_2102,1_2103,1_2104,1_2105,1_2106,1_2107,1_2108,1_2109,1_2110,1_2111,1_2112,1_2113,1_2114,1_2115,1_2116,1_2201,1_2202,1_2203,1_2204,1_2205,1_2206,1_2207,1_2208,1_2209,1_2210,1_2211,1_2212,1_2213,1_2214,1_2215,1_2216,1_2301,1_2302,1_2303,1_2304,1_2305,1_2306,1_2307,1_2308,1_2309,1_2310,1_2311,1_2312,1_2313,1_2314,1_2315,1_2316	
C1NGRACXX	2	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	41.62	41.62	84.87	35.33	84.87	35.33	33.95	33.95		2_1101,2_1102,2_1103,2_1104,2_1105,2_1106,2_1107,2_1108,2_1109,2_1110,2_1111,2_1112,2_1113,2_1114,2_1115,2_1116,2_1201,2_1202,2_1203,2_1204,2_1205,2_1206,2_1207,2_1208,2_1209,2_1210,2_1211,2_1212,2_1213,2_1214,2_1215,2_1216,2_1301,2_1302,2_1303,2_1304,2_1305,2_1306,2_1307,2_1308,2_1309,2_1310,2_1311,2_1312,2_1313,2_1314,2_1315,2_1316,2_2101,2_2102,2_2103,2_2104,2_2105,2_2106,2_2107,2_2108,2_2109,2_2110,2_2111,2_2112,2_2113,2_2114,2_2115,2_2116,2_2201,2_2202,2_2203,2_2204,2_2205,2_2206,2_2207,2_2208,2_2209,2_2210,2_2211,2_2212,2_2213,2_2214,2_2215,2_2216,2_2301,2_2302,2_2303,2_2304,2_2305,2_2306,2_2307,2_2308,2_2309,2_2310,2_2311,2_2312,2_2313,2_2314,2_2315,2_2316	
C1NGRACXX	3	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	44.33	44.33	83.46	37.00	83.46	37.00	33.63	33.63		3_1101,3_1102,3_1103,3_1104,3_1105,3_1106,3_1107,3_1108,3_1109,3_1110,3_1111,3_1112,3_1113,3_1114,3_1115,3_1116,3_1201,3_1202,3_1203,3_1204,3_1205,3_1206,3_1207,3_1208,3_1209,3_1210,3_1211,3_1212,3_1213,3_1214,3_1215,3_1216,3_1301,3_1302,3_1303,3_1304,3_1305,3_1306,3_1307,3_1308,3_1309,3_1310,3_1311,3_1312,3_1313,3_1314,3_1315,3_1316,3_2101,3_2102,3_2103,3_2104,3_2105,3_2106,3_2107,3_2108,3_2109,3_2110,3_2111,3_2112,3_2113,3_2114,3_2115,3_2116,3_2201,3_2202,3_2203,3_2204,3_2205,3_2206,3_2207,3_2208,3_2209,3_2210,3_2211,3_2212,3_2213,3_2214,3_2215,3_2216,3_2301,3_2302,3_2303,3_2304,3_2305,3_2306,3_2307,3_2308,3_2309,3_2310,3_2311,3_2312,3_2313,3_2314,3_2315,3_2316	
C1NGRACXX	4	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	43.91	43.91	82.95	36.42	82.95	36.42	33.52	33.52		4_1101,4_1102,4_1103,4_1104,4_1105,4_1106,4_1107,4_1108,4_1109,4_1110,4_1111,4_1112,4_1113,4_1114,4_1115,4_1116,4_1201,4_1202,4_1203,4_1204,4_1205,4_1206,4_1207,4_1208,4_1209,4_1210,4_1211,4_1212,4_1213,4_1214,4_1215,4_1216,4_1301,4_1302,4_1303,4_1304,4_1305,4_1306,4_1307,4_1308,4_1309,4_1310,4_1311,4_1312,4_1313,4_1314,4_1315,4_1316,4_2101,4_2102,4_2103,4_2104,4_2105,4_2106,4_2107,4_2108,4_2109,4_2110,4_2111,4_2112,4_2113,4_2114,4_2115,4_2116,4_2201,4_2202,4_2203,4_2204,4_2205,4_2206,4_2207,4_2208,4_2209,4_2210,4_2211,4_2212,4_2213,4_2214,4_2215,4_2216,4_2301,4_2302,4_2303,4_2304,4_2305,4_2306,4_2307,4_2308,4_2309,4_2310,4_2311,4_2312,4_2313,4_2314,4_2315,4_2316	
C1NGRACXX	5	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	45.17	45.17	82.54	37.28	82.54	37.28	33.42	33.42		5_1101,5_1102,5_1103,5_1104,5_1105,5_1106,5_1107,5_1108,5_1109,5_1110,5_1111,5_1112,5_1113,5_1114,5_1115,5_1116,5_1201,5_1202,5_1203,5_1204,5_1205,5_1206,5_1207,5_1208,5_1209,5_1210,5_1211,5_1212,5_1213,5_1214,5_1215,5_1216,5_1301,5_1302,5_1303,5_1304,5_1305,5_1306,5_1307,5_1308,5_1309,5_1310,5_1311,5_1312,5_1313,5_1314,5_1315,5_1316,5_2101,5_2102,5_2103,5_2104,5_2105,5_2106,5_2107,5_2108,5_2109,5_2110,5_2111,5_2112,5_2113,5_2114,5_2115,5_2116,5_2201,5_2202,5_2203,5_2204,5_2205,5_2206,5_2207,5_2208,5_2209,5_2210,5_2211,5_2212,5_2213,5_2214,5_2215,5_2216,5_2301,5_2302,5_2303,5_2304,5_2305,5_2306,5_2307,5_2308,5_2309,5_2310,5_2311,5_2312,5_2313,5_2314,5_2315,5_2316	
C1NGRACXX	6	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	37.43	37.43	86.18	32.26	86.18	32.26	34.24	34.24		6_1101,6_1102,6_1103,6_1104,6_1105,6_1106,6_1107,6_1108,6_1109,6_1110,6_1111,6_1112,6_1113,6_1114,6_1115,6_1116,6_1201,6_1202,6_1203,6_1204,6_1205,6_1206,6_1207,6_1208,6_1209,6_1210,6_1211,6_1212,6_1213,6_1214,6_1215,6_1216,6_1301,6_1302,6_1303,6_1304,6_1305,6_1306,6_1307,6_1308,6_1309,6_1310,6_1311,6_1312,6_1313,6_1314,6_1315,6_1316,6_2101,6_2102,6_2103,6_2104,6_2105,6_2106,6_2107,6_2108,6_2109,6_2110,6_2111,6_2112,6_2113,6_2114,6_2115,6_2116,6_2201,6_2202,6_2203,6_2204,6_2205,6_2206,6_2207,6_2208,6_2209,6_2210,6_2211,6_2212,6_2213,6_2214,6_2215,6_2216,6_2301,6_2302,6_2303,6_2304,6_2305,6_2306,6_2307,6_2308,6_2309,6_2310,6_2311,6_2312,6_2313,6_2314,6_2315,6_2316	
C1NGRACXX	7	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	36.47	36.47	86.31	31.48	86.31	31.48	34.28	34.28		7_1101,7_1102,7_1103,7_1104,7_1105,7_1106,7_1107,7_1108,7_1109,7_1110,7_1111,7_1112,7_1113,7_1114,7_1115,7_1116,7_1201,7_1202,7_1203,7_1204,7_1205,7_1206,7_1207,7_1208,7_1209,7_1210,7_1211,7_1212,7_1213,7_1214,7_1215,7_1216,7_1301,7_1302,7_1303,7_1304,7_1305,7_1306,7_1307,7_1308,7_1309,7_1310,7_1311,7_1312,7_1313,7_1314,7_1315,7_1316,7_2101,7_2102,7_2103,7_2104,7_2105,7_2106,7_2107,7_2108,7_2109,7_2110,7_2111,7_2112,7_2113,7_2114,7_2115,7_2116,7_2201,7_2202,7_2203,7_2204,7_2205,7_2206,7_2207,7_2208,7_2209,7_2210,7_2211,7_2212,7_2213,7_2214,7_2215,7_2216,7_2301,7_2302,7_2303,7_2304,7_2305,7_2306,7_2307,7_2308,7_2309,7_2310,7_2311,7_2312,7_2313,7_2314,7_2315,7_2316	
C1NGRACXX	8	130201_SN1248_0161_AC1NGRACXX_TL	202	FINISHED	100.00	96	96	36.88	36.88	86.50	31.90	86.50	31.90	34.33	34.33		8_1101,8_1102,8_1103,8_1104,8_1105,8_1106,8_1107,8_1108,8_1109,8_1110,8_1111,8_1112,8_1113,8_1114,8_1115,8_1116,8_1201,8_1202,8_1203,8_1204,8_1205,8_1206,8_1207,8_1208,8_1209,8_1210,8_1211,8_1212,8_1213,8_1214,8_1215,8_1216,8_1301,8_1302,8_1303,8_1304,8_1305,8_1306,8_1307,8_1308,8_1309,8_1310,8_1311,8_1312,8_1313,8_1314,8_1315,8_1316,8_2101,8_2102,8_2103,8_2104,8_2105,8_2106,8_2107,8_2108,8_2109,8_2110,8_2111,8_2112,8_2113,8_2114,8_2115,8_2116,8_2201,8_2202,8_2203,8_2204,8_2205,8_2206,8_2207,8_2208,8_2209,8_2210,8_2211,8_2212,8_2213,8_2214,8_2215,8_2216,8_2301,8_2302,8_2303,8_2304,8_2305,8_2306,8_2307,8_2308,8_2309,8_2310,8_2311,8_2312,8_2313,8_2314,8_2315,8_2316	
